Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:TICAPAMPA
,Departamento:LA,LIBERTAD,Provincia:SANCHEZ,CARRION,Distrito:SARIN
,Latitud:7°54'59.07'',Longitud:77°54'5.33'',Altitud:2819,msnm.
,Tipo:EMA,-Meteorológica,Código:107130
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/04/20,19:00,12.7,0.0,77,194,0.0
2021/04/20,20:00,12.9,0.2,78,202,0.2
2021/04/20,21:00,11.4,0.1,92,172,0.0
2021/04/20,22:00,10.6,0.1,95,163,0.0
2021/04/20,23:00,10.2,0.0,95,181,0.0
2021/04/21,00:00,10.3,0.0,93,203,0.0
2021/04/21,01:00,9.9,0.0,93,206,0.0
2021/04/21,02:00,9.5,0.0,91,171,0.0
2021/04/21,03:00,8.9,0.0,92,198,0.0
2021/04/21,04:00,8.7,0.0,92,206,0.0
2021/04/21,05:00,7.9,0.0,94,158,0.0
2021/04/21,06:00,7.9,0.0,95,192,0.0
2021/04/21,07:00,7.9,0.0,92,203,0.0
2021/04/21,08:00,9.2,0.0,89,116,2.0
2021/04/21,09:00,13.9,0.0,71,1,0.1
2021/04/21,10:00,16.4,0.0,67,356,0.9
2021/04/21,11:00,17.5,0.0,63,305,2.0
2021/04/21,12:00,18.4,0.0,57,289,2.3
2021/04/21,13:00,19.3,0.0,53,312,1.9
2021/04/21,14:00,19.5,0.0,51,279,2.2
2021/04/21,15:00,20.0,0.0,52,298,1.4
2021/04/21,16:00,21.7,0.0,45,286,2.4
2021/04/21,17:00,20.4,0.0,47,261,0.0
2021/04/21,18:00,16.4,0.0,65,181,0.0
2021/04/21,19:00,15.0,0.0,71,167,0.0
2021/04/21,20:00,14.4,0.0,73,205,0.0
2021/04/21,21:00,13.0,0.0,79,190,0.0
2021/04/21,22:00,12.5,0.0,80,176,0.0
2021/04/21,23:00,11.7,0.0,82,201,0.0
2021/04/22,00:00,11.8,0.0,80,187,0.0
2021/04/22,01:00,11.5,0.0,81,140,0.0
2021/04/22,02:00,11.3,0.0,81,183,0.0
2021/04/22,03:00,10.7,0.0,85,176,0.0
2021/04/22,04:00,10.4,0.0,87,224,0.0
2021/04/22,05:00,10.3,0.0,85,152,0.0
2021/04/22,06:00,10.0,0.0,87,179,0.0
2021/04/22,07:00,10.0,0.0,87,128,0.0
2021/04/22,08:00,12.0,0.0,77,105,1.1
2021/04/22,09:00,13.3,0.0,73,349,0.0
2021/04/22,10:00,16.0,0.0,67,318,0.0
2021/04/22,11:00,16.6,0.0,66,123,0.0
2021/04/22,12:00,17.9,0.0,62,281,1.4
2021/04/22,13:00,19.8,0.0,53,290,2.4
2021/04/22,14:00,20.9,0.0,48,295,2.2
2021/04/22,15:00,21.5,0.0,39,266,1.5
2021/04/22,16:00,20.4,0.0,46,274,1.7
2021/04/22,17:00,19.9,0.0,48,294,1.0
2021/04/22,18:00,15.6,0.2,70,169,0.0
2021/04/22,19:00,12.3,0.1,91,159,0.0
2021/04/22,20:00,11.6,0.0,88,222,0.0
2021/04/22,21:00,11.1,0.0,86,166,0.0
2021/04/22,22:00,10.8,0.0,86,188,0.0
2021/04/22,23:00,11.0,0.0,85,179,0.0
2021/04/23,00:00,11.4,0.0,82,185,0.0
2021/04/23,01:00,10.8,0.0,83,186,0.0
2021/04/23,02:00,9.9,0.0,85,185,0.0
2021/04/23,03:00,9.5,0.0,86,184,0.0
2021/04/23,04:00,9.8,0.0,87,142,0.0
2021/04/23,05:00,10.4,0.0,84,146,0.0
